Inserted 5109 records into 'uplinks'.

--- 1. Top 10 devices with highest number of uplinks ---
Device: device-4547, Uplinks: 4
Device: device-4786, Uplinks: 4
Device: device-4604, Uplinks: 4
Device: device-1912, Uplinks: 4
Device: device-1321, Uplinks: 4
Device: device-3413, Uplinks: 4
Device: device-1275, Uplinks: 4
Device: device-1920, Uplinks: 4
Device: device-0626, Uplinks: 4
Device: device-4852, Uplinks: 4

--- 2. Average RSSI and SNR per device (Sorted by lowest RSSI) ---
Device: device-4880, Avg RSSI: -120.00, Avg SNR: 7.57
Gateway: grow-party-message, Avg Temp: 44.26, Avg Humidity: 67.63
Gateway: hour-sign-thus-low, Avg Temp: 5.73, Avg Humidity: 46.76
Gateway: effect-hand-billion, Avg Temp: 41.63, Avg Humidity: 73.86
Gateway: experience-surface, Avg Temp: 35.27, Avg Humidity: 23.77
Gateway: top-take-form, Avg Temp: 28.54, Avg Humidity: 36.43
Gateway: short-gas-maybe, Avg Temp: 11.55, Avg Humidity: 72.71
Gateway: senior-different-if, Avg Temp: 4.86, Avg Humidity: 27.93
Gateway: me-budget-between, Avg Temp: 24.65, Avg Humidity: 51.07
Gateway: learn-good-room, Avg Temp: 31.52, Avg Humidity: 80.68
Gateway: relationship-drop, Avg Temp: 13.95, Avg Humidity: 33.78
Gateway: stock-response, Avg Temp: 26.20, Avg Humidity: 20.82
Gateway: station-usually-boy, Avg Temp: 22.19, Avg Humidity: 73.92
Gateway: civil-stand-learn, Avg Temp: 32.41, Avg Humidity: 51.45
Gateway: product, Avg Temp: 26.25, Avg Humidity: 39.88
Gateway: page-section-coach, Avg Temp: -3.92, Avg Humidity: 63.48
Gateway: candidate-key, Avg Temp: -7.64, Avg Humidity: 64.86
Gateway: bank-also-month, Avg Temp: 31.03, Avg Humidity: 77.55
Gateway: seven-bill-mention, Avg Temp: 29.18, Avg Humidity: 30.22
Gateway: test-production, Avg Temp: 7.02, Avg Humidity: 35.29
Gateway: term-tv-seat-ball, Avg Temp: 38.15, Avg Humidity: 75.40
Gateway: simple-our-indeed, Avg Temp: 49.57, Avg Humidity: 62.05
Gateway: tax-according-wind, Avg Temp: 25.27, Avg Humidity: 23.10
Gateway: whether-fund-a-east, Avg Temp: 39.01, Avg Humidity: 71.82
Gateway: popular-myself, Avg Temp: 29.61, Avg Humidity: 22.60
Gateway: evidence-we-day, Avg Temp: 10.96, Avg Humidity: 26.54
Gateway: minute-determine, Avg Temp: -3.61, Avg Humidity: 33.09
Gateway: every-full-behavior, Avg Temp: 35.73, Avg Humidity: 18.04
Gateway: person-enjoy-boy, Avg Temp: 4.00, Avg Humidity: 83.04
Gateway: likely, Avg Temp: -7.36, Avg Humidity: 70.04
Gateway: rest-drive-or, Avg Temp: 29.21, Avg Humidity: 22.73
Gateway: and-trip-century, Avg Temp: 38.81, Avg Humidity: 46.17
Gateway: business-very-next, Avg Temp: 15.75, Avg Humidity: 29.15
Gateway: forget-sort-state, Avg Temp: 5.29, Avg Humidity: 19.74
Gateway: quickly-argue, Avg Temp: -4.62, Avg Humidity: 69.71
Gateway: hear-big-door-drop, Avg Temp: -0.76, Avg Humidity: 38.85
Gateway: choose-that-smile, Avg Temp: 28.74, Avg Humidity: 25.41
Gateway: when-forget-line, Avg Temp: 46.43, Avg Humidity: 72.33
Gateway: make-air-window, Avg Temp: 2.66, Avg Humidity: 37.39
Gateway: another-message, Avg Temp: 26.95, Avg Humidity: 52.98
Gateway: stop-analysis-stock, Avg Temp: 19.57, Avg Humidity: 27.89
Gateway: never-him-carry, Avg Temp: 31.21, Avg Humidity: 60.33
Gateway: past-add-attorney, Avg Temp: 6.04, Avg Humidity: 65.40
Gateway: protect-industry, Avg Temp: 46.05, Avg Humidity: 81.92
Gateway: important-along, Avg Temp: 11.01, Avg Humidity: 36.45
Gateway: painting-public, Avg Temp: 15.13, Avg Humidity: 52.69
Gateway: four-help-movie, Avg Temp: -3.04, Avg Humidity: 59.30
Gateway: seven-meeting-guy, Avg Temp: 15.93, Avg Humidity: 64.36
Gateway: world-huge-talk, Avg Temp: 13.80, Avg Humidity: 45.34
Gateway: television-prevent, Avg Temp: 12.73, Avg Humidity: 22.53
Gateway: or-film-industry, Avg Temp: 46.97, Avg Humidity: 77.45
Gateway: us-civil-nothing, Avg Temp: 22.42, Avg Humidity: 31.99
Gateway: doctor-change-none, Avg Temp: 43.11, Avg Humidity: 53.10
Gateway: want-them-pattern, Avg Temp: 3.26, Avg Humidity: 71.52
Gateway: garden-great-call, Avg Temp: 37.16, Avg Humidity: 24.13
Gateway: environment-field, Avg Temp: 25.48, Avg Humidity: 44.68
Gateway: without-since, Avg Temp: 21.35, Avg Humidity: 89.46
Gateway: development, Avg Temp: 4.10, Avg Humidity: 57.02
Gateway: somebody-still, Avg Temp: 7.87, Avg Humidity: 74.98
Gateway: power-turn-player, Avg Temp: 35.87, Avg Humidity: 41.27
Gateway: save-indicate-early, Avg Temp: 31.02, Avg Humidity: 33.22
Gateway: he-on-seven-news, Avg Temp: 14.64, Avg Humidity: 37.91
Gateway: short-pay-try, Avg Temp: 22.59, Avg Humidity: 28.14
Gateway: low-of-share-growth, Avg Temp: -3.42, Avg Humidity: 87.92
Gateway: think-page-artist, Avg Temp: 49.91, Avg Humidity: 68.42
Gateway: field-to-sound, Avg Temp: 31.16, Avg Humidity: 54.32
Gateway: coach-herself-long, Avg Temp: 8.83, Avg Humidity: 27.56
Gateway: same-leave-thought, Avg Temp: 3.18, Avg Humidity: 12.51
Gateway: tell-not-project, Avg Temp: 23.86, Avg Humidity: 65.49
Gateway: pay-scene-analysis, Avg Temp: 43.39, Avg Humidity: 13.49
Gateway: line-throughout, Avg Temp: 41.18, Avg Humidity: 38.58
Gateway: side-culture-role, Avg Temp: -6.87, Avg Humidity: 70.71
Gateway: social, Avg Temp: -5.50, Avg Humidity: 20.60
Gateway: figure-customer, Avg Temp: 23.81, Avg Humidity: 60.76
Gateway: than-member, Avg Temp: 34.80, Avg Humidity: 28.07
Gateway: for-establish-stay, Avg Temp: -9.26, Avg Humidity: 42.86
Gateway: matter-throughout, Avg Temp: 24.47, Avg Humidity: 34.54
Gateway: almost-senior-wall, Avg Temp: 7.69, Avg Humidity: 75.58
Gateway: science-forget, Avg Temp: -8.90, Avg Humidity: 84.60
Gateway: final-fund-play, Avg Temp: 23.31, Avg Humidity: 37.67
Gateway: maybe-hair-citizen, Avg Temp: 9.59, Avg Humidity: 74.63
Gateway: direction-popular, Avg Temp: 22.95, Avg Humidity: 25.21
Gateway: may-research-rich, Avg Temp: -6.76, Avg Humidity: 67.37
Gateway: cell-well-student, Avg Temp: -2.50, Avg Humidity: 45.25
Gateway: piece-perhaps, Avg Temp: 4.93, Avg Humidity: 69.14
Gateway: sea-general-never, Avg Temp: -6.17, Avg Humidity: 68.73
Gateway: movement-how-career, Avg Temp: -9.71, Avg Humidity: 52.31
Gateway: community-floor-few, Avg Temp: 46.69, Avg Humidity: 73.13
Gateway: relationship-not, Avg Temp: -0.21, Avg Humidity: 16.78
Gateway: feel-fact, Avg Temp: 30.41, Avg Humidity: 79.27
Gateway: pattern-news-minute, Avg Temp: 17.95, Avg Humidity: 39.07
Gateway: book-action, Avg Temp: 43.12, Avg Humidity: 23.49
Gateway: brother-memory-both, Avg Temp: -8.08, Avg Humidity: 23.43
Gateway: through-democratic, Avg Temp: -0.49, Avg Humidity: 75.77
Gateway: beat-few-available, Avg Temp: 17.55, Avg Humidity: 66.37
Gateway: clearly-something, Avg Temp: -3.50, Avg Humidity: 14.90
Gateway: floor-would-station, Avg Temp: 46.81, Avg Humidity: 70.01
Gateway: draw-benefit, Avg Temp: 17.62, Avg Humidity: 69.64
Gateway: own-serious-hit, Avg Temp: 28.17, Avg Humidity: 28.01
Gateway: hundred-hot-season, Avg Temp: 12.61, Avg Humidity: 82.79
Gateway: edge-beat-them, Avg Temp: 38.38, Avg Humidity: 84.33
Gateway: thank-hand-indeed, Avg Temp: 4.35, Avg Humidity: 34.69
Gateway: couple-serve, Avg Temp: -2.14, Avg Humidity: 28.52
Gateway: when-newspaper, Avg Temp: 37.80, Avg Humidity: 83.53
Gateway: citizen-edge-adult, Avg Temp: 38.14, Avg Humidity: 32.28
Gateway: financial-head, Avg Temp: 25.26, Avg Humidity: 31.89
Gateway: method-production, Avg Temp: 7.37, Avg Humidity: 83.04
Gateway: free-political-head, Avg Temp: 11.44, Avg Humidity: 14.86
Gateway: medical-almost-run, Avg Temp: 21.65, Avg Humidity: 39.00
Gateway: author-play-whom, Avg Temp: 10.99, Avg Humidity: 80.59
Gateway: according-over, Avg Temp: 18.40, Avg Humidity: 43.11
Gateway: poor-resource, Avg Temp: 25.29, Avg Humidity: 12.74
Gateway: building-agency, Avg Temp: 22.55, Avg Humidity: 56.65
Gateway: property-child, Avg Temp: 29.13, Avg Humidity: 86.61
Gateway: thus-senior-law, Avg Temp: 43.08, Avg Humidity: 88.64
Gateway: standard-address, Avg Temp: -5.72, Avg Humidity: 15.46
Gateway: subject-nothing, Avg Temp: -1.74, Avg Humidity: 37.73
Gateway: market-ten-think, Avg Temp: 9.13, Avg Humidity: 64.53
Gateway: public-executive, Avg Temp: 9.98, Avg Humidity: 34.85
Gateway: wind-above-remain, Avg Temp: 30.32, Avg Humidity: 54.61
Gateway: develop-sport-top, Avg Temp: -8.81, Avg Humidity: 85.68
Gateway: red-above-enjoy, Avg Temp: 38.44, Avg Humidity: 54.49
Gateway: thus-according, Avg Temp: 35.56, Avg Humidity: 71.53
Gateway: foreign-measure, Avg Temp: -9.40, Avg Humidity: 73.68
Gateway: item-open-activity, Avg Temp: 43.19, Avg Humidity: 30.47
Gateway: door-military, Avg Temp: 32.59, Avg Humidity: 20.01
Gateway: different-western, Avg Temp: 19.78, Avg Humidity: 59.43
Gateway: serve-make-exist, Avg Temp: -2.21, Avg Humidity: 82.10
Gateway: according-chance, Avg Temp: 14.21, Avg Humidity: 51.75
Gateway: glass-international, Avg Temp: 33.78, Avg Humidity: 19.09
Gateway: remain-plan-over, Avg Temp: 8.64, Avg Humidity: 52.43
Gateway: seek-trouble, Avg Temp: 33.16, Avg Humidity: 45.53
Gateway: hot-media-build, Avg Temp: -0.27, Avg Humidity: 49.33
Gateway: ask-free-production, Avg Temp: 43.50, Avg Humidity: 32.66
Gateway: notice-deal, Avg Temp: -0.09, Avg Humidity: 27.62
Gateway: speak-least-also, Avg Temp: 33.63, Avg Humidity: 87.71
Gateway: growth-know-hair, Avg Temp: 13.07, Avg Humidity: 14.16
Gateway: director-herself, Avg Temp: -0.16, Avg Humidity: 87.30
Gateway: health-wall-start, Avg Temp: 34.50, Avg Humidity: 19.83
Gateway: from-statement, Avg Temp: -1.56, Avg Humidity: 76.74
Gateway: building-it, Avg Temp: 48.50, Avg Humidity: 49.97
Gateway: throughout-must, Avg Temp: 31.32, Avg Humidity: 18.00
Gateway: memory-executive, Avg Temp: 18.63, Avg Humidity: 59.34
Gateway: room-last, Avg Temp: 41.38, Avg Humidity: 22.81
Gateway: nearly-spring, Avg Temp: 18.74, Avg Humidity: 59.12
Gateway: fact-various-read, Avg Temp: 7.53, Avg Humidity: 22.26
Gateway: friend-police-worry, Avg Temp: -1.82, Avg Humidity: 65.83
Gateway: church-happen-carry, Avg Temp: 8.11, Avg Humidity: 21.88
Gateway: travel-inside-film, Avg Temp: 22.06, Avg Humidity: 23.47
Gateway: especially, Avg Temp: 45.25, Avg Humidity: 85.11
Gateway: someone-change, Avg Temp: 21.23, Avg Humidity: 89.29
Gateway: green-politics-rock, Avg Temp: 23.75, Avg Humidity: 80.17
Gateway: relationship-least, Avg Temp: 38.50, Avg Humidity: 61.37
Gateway: half-activity-north, Avg Temp: 35.01, Avg Humidity: 59.58
Gateway: present-pull, Avg Temp: 37.68, Avg Humidity: 23.85
Gateway: present-their-buy, Avg Temp: 47.22, Avg Humidity: 61.18
Gateway: know-line-check, Avg Temp: -9.32, Avg Humidity: 26.86
Gateway: save-pull-fund-full, Avg Temp: 39.68, Avg Humidity: 68.41
Gateway: everything-stand, Avg Temp: 1.66, Avg Humidity: 70.24
Gateway: bank-board-prevent, Avg Temp: 11.94, Avg Humidity: 54.04
Gateway: do-lot-watch-place, Avg Temp: 24.93, Avg Humidity: 13.95
Gateway: doctor-increase, Avg Temp: 28.68, Avg Humidity: 46.16
Gateway: front-when-space, Avg Temp: 32.71, Avg Humidity: 15.52
Gateway: cover-peace-we-kid, Avg Temp: 15.05, Avg Humidity: 12.65
Gateway: prevent-positive, Avg Temp: 30.42, Avg Humidity: 14.37
Gateway: management-positive, Avg Temp: 30.56, Avg Humidity: 32.56
Gateway: opportunity-law, Avg Temp: 1.02, Avg Humidity: 37.75
Gateway: both-car-east, Avg Temp: 9.61, Avg Humidity: 84.46
Gateway: game-ok-check, Avg Temp: -2.66, Avg Humidity: 19.15
Gateway: will-sign-girl, Avg Temp: 26.29, Avg Humidity: 43.98
Gateway: better-husband-but, Avg Temp: 23.82, Avg Humidity: 84.05
Gateway: option-serve-loss, Avg Temp: 36.12, Avg Humidity: 55.16
Gateway: most-again-turn-far, Avg Temp: 22.90, Avg Humidity: 12.50
Gateway: college-next, Avg Temp: 20.55, Avg Humidity: 17.91
Gateway: foot-increase-north, Avg Temp: 32.26, Avg Humidity: 78.11
Gateway: own-admit-leader, Avg Temp: 7.24, Avg Humidity: 10.97
Gateway: program-life-leg, Avg Temp: 9.47, Avg Humidity: 18.79
Gateway: but-represent, Avg Temp: 19.82, Avg Humidity: 10.34
Gateway: test-fund-blue, Avg Temp: -6.01, Avg Humidity: 80.74
Gateway: start-you, Avg Temp: 3.04, Avg Humidity: 78.14
Gateway: remain-article, Avg Temp: 24.46, Avg Humidity: 77.60
Gateway: care-most-fact, Avg Temp: -3.34, Avg Humidity: 72.34
Gateway: although-wish, Avg Temp: 5.74, Avg Humidity: 34.82
Gateway: happen-risk-second, Avg Temp: 48.57, Avg Humidity: 15.48
Gateway: interview-song, Avg Temp: 28.53, Avg Humidity: 54.82
Gateway: follow-shake-east, Avg Temp: 47.34, Avg Humidity: 10.40
Gateway: yes-per-person, Avg Temp: 34.95, Avg Humidity: 32.09
Gateway: knowledge-rate-girl, Avg Temp: 2.71, Avg Humidity: 56.32
Gateway: fact-scientist, Avg Temp: 15.01, Avg Humidity: 53.47
Gateway: music-son, Avg Temp: 10.36, Avg Humidity: 21.08
Gateway: require-appear, Avg Temp: -3.35, Avg Humidity: 30.32
Gateway: nature-lot-item, Avg Temp: 21.07, Avg Humidity: 66.31
Gateway: which-lose-cover, Avg Temp: 24.43, Avg Humidity: 88.63
Gateway: street-old-again, Avg Temp: 32.22, Avg Humidity: 74.79
Gateway: according-get, Avg Temp: 41.70, Avg Humidity: 71.72
Gateway: tree-news-officer, Avg Temp: 32.79, Avg Humidity: 65.07
Gateway: husband-pattern, Avg Temp: 19.68, Avg Humidity: 47.55
Gateway: board-enough-while, Avg Temp: 10.60, Avg Humidity: 72.00
Gateway: onto-member-sister, Avg Temp: 42.90, Avg Humidity: 45.10
Gateway: they-see-carry-test, Avg Temp: -3.42, Avg Humidity: 72.08
Gateway: by-defense-set-talk, Avg Temp: 5.08, Avg Humidity: 32.58
Gateway: two-majority-great, Avg Temp: -2.96, Avg Humidity: 60.30
Gateway: business-season-bar, Avg Temp: 35.99, Avg Humidity: 87.97
Gateway: better-reality-hot, Avg Temp: 35.42, Avg Humidity: 78.13
Gateway: imagine-sort-deep, Avg Temp: 48.81, Avg Humidity: 43.98
Gateway: difference-computer, Avg Temp: 36.84, Avg Humidity: 21.00
Gateway: management-method, Avg Temp: 12.07, Avg Humidity: 30.80
Gateway: there-guy-avoid, Avg Temp: 1.78, Avg Humidity: 15.88
Gateway: adult-tree-behind, Avg Temp: 31.39, Avg Humidity: 79.44
Gateway: dark-none-cold-cold, Avg Temp: 41.86, Avg Humidity: 69.93
Gateway: allow-agree-one, Avg Temp: -1.81, Avg Humidity: 64.68
Gateway: spring-treatment, Avg Temp: 24.57, Avg Humidity: 66.54
Gateway: miss-bed-record, Avg Temp: 10.73, Avg Humidity: 36.72
Gateway: walk-break-material, Avg Temp: 31.61, Avg Humidity: 81.20
Gateway: bed-mission-go, Avg Temp: 38.70, Avg Humidity: 81.49
Gateway: manage-information, Avg Temp: 42.78, Avg Humidity: 11.50
Gateway: receive-create, Avg Temp: 1.91, Avg Humidity: 31.46
Gateway: production-pay-nice, Avg Temp: 24.96, Avg Humidity: 82.17
Gateway: more-similar-keep, Avg Temp: 13.01, Avg Humidity: 67.50
Gateway: less-along-say, Avg Temp: 11.35, Avg Humidity: 55.10
Gateway: seem-soldier, Avg Temp: -4.38, Avg Humidity: 60.85
Gateway: might-main-both, Avg Temp: 35.04, Avg Humidity: 28.23
Gateway: center-inside-bar, Avg Temp: 37.83, Avg Humidity: 36.84
Gateway: commercial-safe, Avg Temp: 9.20, Avg Humidity: 36.00
Gateway: more-real-from-boy, Avg Temp: -4.46, Avg Humidity: 11.84
Gateway: for-thank-force, Avg Temp: 28.28, Avg Humidity: 80.37
Gateway: morning-forget, Avg Temp: -8.85, Avg Humidity: 34.59
Gateway: war-ready-position, Avg Temp: 31.56, Avg Humidity: 67.26
Gateway: find-clearly-skill, Avg Temp: 10.05, Avg Humidity: 75.79
Gateway: experience-east, Avg Temp: 26.85, Avg Humidity: 56.15
Gateway: individual-firm, Avg Temp: 23.03, Avg Humidity: 71.88
Gateway: always-partner-on, Avg Temp: 32.42, Avg Humidity: 53.49
Gateway: field-last-blue, Avg Temp: -2.43, Avg Humidity: 58.71
Gateway: inside-at-popular, Avg Temp: 27.76, Avg Humidity: 30.53
Gateway: various-door, Avg Temp: -1.77, Avg Humidity: 66.66
Gateway: local-far-strategy, Avg Temp: 36.64, Avg Humidity: 84.59
Gateway: health-exist-city, Avg Temp: 15.20, Avg Humidity: 28.87
Gateway: reality-without, Avg Temp: 30.17, Avg Humidity: 16.64
Gateway: watch-final, Avg Temp: 22.64, Avg Humidity: 28.59
Gateway: according-statement, Avg Temp: 1.57, Avg Humidity: 17.36
Gateway: television-single, Avg Temp: 7.11, Avg Humidity: 66.03
Gateway: top-cultural-decade, Avg Temp: 39.40, Avg Humidity: 60.58
Gateway: lay-have-main-board, Avg Temp: 38.47, Avg Humidity: 60.38
Gateway: travel-hear-know, Avg Temp: -0.96, Avg Humidity: 49.99
Gateway: between-in-beat-on, Avg Temp: -3.65, Avg Humidity: 41.26
Gateway: soon-future-place, Avg Temp: 7.43, Avg Humidity: 76.27
Gateway: clearly-spring-what, Avg Temp: -9.46, Avg Humidity: 28.61
Gateway: story-pick-hundred, Avg Temp: 49.24, Avg Humidity: 49.19
Gateway: road-beat-light, Avg Temp: 9.90, Avg Humidity: 35.09
Gateway: where-behavior, Avg Temp: 30.16, Avg Humidity: 54.88
Gateway: support-group-go, Avg Temp: -3.79, Avg Humidity: 37.39
Gateway: protect-buy-threat, Avg Temp: -9.97, Avg Humidity: 12.18
Gateway: goal-i-indeed-power, Avg Temp: 22.44, Avg Humidity: 18.88
Gateway: thus-traditional, Avg Temp: 13.58, Avg Humidity: 10.24
Gateway: space-cut-machine, Avg Temp: -5.22, Avg Humidity: 66.85
Gateway: be-forget-see-art, Avg Temp: 29.96, Avg Humidity: 63.22
Gateway: figure-gun-couple, Avg Temp: 24.31, Avg Humidity: 12.40
Gateway: allow-help-quickly, Avg Temp: 40.76, Avg Humidity: 89.47
Gateway: likely-vote-meet, Avg Temp: 31.36, Avg Humidity: 10.09
Gateway: season-audience, Avg Temp: 14.65, Avg Humidity: 77.74
Gateway: project-to-oil-let, Avg Temp: 31.40, Avg Humidity: 87.71
Gateway: but-oil-rest-market, Avg Temp: 39.27, Avg Humidity: 41.16
Gateway: fact-wait-game-high, Avg Temp: -5.54, Avg Humidity: 47.12
Gateway: actually-deep, Avg Temp: -2.95, Avg Humidity: 35.85
Gateway: increase-great-guy, Avg Temp: 19.08, Avg Humidity: 41.05
Gateway: soon-plan-large, Avg Temp: 13.74, Avg Humidity: 76.66
Gateway: finish-suddenly, Avg Temp: 4.95, Avg Humidity: 38.42
Gateway: field-enter, Avg Temp: 26.50, Avg Humidity: 39.15
Gateway: simply-listen, Avg Temp: 42.00, Avg Humidity: 28.83
Gateway: worry-happy-deep, Avg Temp: -9.02, Avg Humidity: 88.34
Gateway: activity-authority, Avg Temp: 7.86, Avg Humidity: 11.80
Gateway: watch-yet-all, Avg Temp: 34.49, Avg Humidity: 43.82
Gateway: way-tax-strategy-do, Avg Temp: 30.94, Avg Humidity: 23.45
Gateway: could-quite-part, Avg Temp: 12.26, Avg Humidity: 22.13
Gateway: language-drug-home, Avg Temp: 13.02, Avg Humidity: 28.70
Gateway: worker-light-fight, Avg Temp: 38.91, Avg Humidity: 10.62
Gateway: indicate-financial, Avg Temp: 20.67, Avg Humidity: 44.45
Gateway: three-town-together, Avg Temp: -2.40, Avg Humidity: 70.54
Gateway: goal-mind-guess-buy, Avg Temp: 33.65, Avg Humidity: 76.21
Gateway: plant-she-note-law, Avg Temp: 10.87, Avg Humidity: 48.04
Gateway: go-oil-herself, Avg Temp: 42.90, Avg Humidity: 88.91
Gateway: move-test-pass-join, Avg Temp: 25.22, Avg Humidity: 56.29
Gateway: develop-situation, Avg Temp: 16.98, Avg Humidity: 49.72
Gateway: ball-out-develop, Avg Temp: 26.33, Avg Humidity: 50.34
Gateway: usually-recently, Avg Temp: 30.90, Avg Humidity: 67.78
Gateway: sister-degree-blood, Avg Temp: 5.33, Avg Humidity: 79.43
Gateway: event-just-realize, Avg Temp: 28.91, Avg Humidity: 27.93
Gateway: force-others, Avg Temp: 31.50, Avg Humidity: 64.27
Gateway: have-us-already, Avg Temp: -4.21, Avg Humidity: 60.19
Gateway: everything-congress, Avg Temp: 12.84, Avg Humidity: 71.94
Gateway: simply-throw-note, Avg Temp: 29.41, Avg Humidity: 38.41
Gateway: far-participant, Avg Temp: 10.20, Avg Humidity: 88.62
Gateway: white-make-modern, Avg Temp: 13.61, Avg Humidity: 86.07
Gateway: suggest-hour, Avg Temp: 16.20, Avg Humidity: 45.03
Gateway: enter-president-cut, Avg Temp: 36.64, Avg Humidity: 75.32
Gateway: truth-keep-program, Avg Temp: -2.96, Avg Humidity: 31.59
Gateway: cost-minute-him, Avg Temp: -4.87, Avg Humidity: 41.65
Gateway: computer-yes-though, Avg Temp: -1.31, Avg Humidity: 66.94
Gateway: learn-understand-no, Avg Temp: 23.59, Avg Humidity: 28.20
Gateway: television-prepare, Avg Temp: 17.04, Avg Humidity: 71.78
Gateway: seat-six-team-party, Avg Temp: 35.24, Avg Humidity: 64.95
Gateway: music-product, Avg Temp: 31.18, Avg Humidity: 22.43
Gateway: thank-system, Avg Temp: 49.53, Avg Humidity: 43.76
Gateway: traditional-table, Avg Temp: 46.52, Avg Humidity: 78.67
Gateway: available-threat, Avg Temp: 18.12, Avg Humidity: 82.28
Gateway: room-hundred-others, Avg Temp: 44.23, Avg Humidity: 25.88
Gateway: office-fact, Avg Temp: 18.29, Avg Humidity: 35.53
Gateway: card-plan-fly-lose, Avg Temp: 19.78, Avg Humidity: 37.95
Gateway: effort-provide, Avg Temp: 22.13, Avg Humidity: 60.42
Gateway: growth-fly-from, Avg Temp: 43.12, Avg Humidity: 38.88
Gateway: no-camera-over-name, Avg Temp: 2.64, Avg Humidity: 17.66
Gateway: bad-name-available, Avg Temp: 21.75, Avg Humidity: 32.19
Gateway: wind-power-role, Avg Temp: 2.44, Avg Humidity: 73.40
Gateway: fast-month-tough, Avg Temp: 23.31, Avg Humidity: 56.51
Gateway: drug-physical-group, Avg Temp: 19.00, Avg Humidity: 33.47
Gateway: run-manage-pay-team, Avg Temp: 34.78, Avg Humidity: 73.33
Gateway: big-any-total, Avg Temp: 7.36, Avg Humidity: 87.42
Gateway: customer-benefit, Avg Temp: -8.20, Avg Humidity: 85.55
Gateway: rich-small-yard, Avg Temp: 21.47, Avg Humidity: 10.81
Gateway: condition-garden, Avg Temp: 2.89, Avg Humidity: 77.08
Gateway: chair-my-last-oil, Avg Temp: 24.44, Avg Humidity: 14.18
Gateway: its-seek-now-forget, Avg Temp: 33.65, Avg Humidity: 47.21
Gateway: bad-loss-main-visit, Avg Temp: 3.75, Avg Humidity: 19.81
Gateway: sister-former-sense, Avg Temp: 1.20, Avg Humidity: 58.58
Gateway: even-message, Avg Temp: 43.40, Avg Humidity: 26.29
Gateway: agree-later-value, Avg Temp: 48.90, Avg Humidity: 31.05
Gateway: behavior-democrat, Avg Temp: 49.50, Avg Humidity: 85.31
Gateway: per-by-area-fly, Avg Temp: 16.74, Avg Humidity: 27.01
Gateway: care-whose-heavy, Avg Temp: 16.90, Avg Humidity: 18.71
Gateway: always-true, Avg Temp: 19.60, Avg Humidity: 28.00
Gateway: science-spend, Avg Temp: 42.08, Avg Humidity: 83.60
Gateway: determine-culture, Avg Temp: 3.15, Avg Humidity: 31.50
Gateway: watch-when-animal, Avg Temp: -2.85, Avg Humidity: 60.12
Gateway: can-begin-voice, Avg Temp: 25.34, Avg Humidity: 71.09
Gateway: hundred-card, Avg Temp: 38.98, Avg Humidity: 30.12
Gateway: particularly-deep, Avg Temp: 42.63, Avg Humidity: 27.47
Gateway: into-face-during, Avg Temp: 21.25, Avg Humidity: 52.00
Gateway: professional-will, Avg Temp: 47.42, Avg Humidity: 59.96
Gateway: including-but, Avg Temp: 11.10, Avg Humidity: 53.44
Gateway: recently-buy-four, Avg Temp: 36.64, Avg Humidity: 31.04
Gateway: artist-perhaps, Avg Temp: 44.71, Avg Humidity: 16.09
Gateway: wear-black, Avg Temp: 24.88, Avg Humidity: 74.82
Gateway: society-true-group, Avg Temp: 21.40, Avg Humidity: 24.83
Gateway: democratic-such, Avg Temp: 27.12, Avg Humidity: 50.98
Gateway: common-window-pay, Avg Temp: 37.39, Avg Humidity: 87.17
Gateway: seek-manager-simply, Avg Temp: 21.83, Avg Humidity: 51.94
Gateway: fund-leave-official, Avg Temp: -8.03, Avg Humidity: 20.40
Gateway: cut-worker-game, Avg Temp: 44.94, Avg Humidity: 70.03
Gateway: interesting-hard, Avg Temp: 39.89, Avg Humidity: 37.35
Gateway: number-throw, Avg Temp: 20.62, Avg Humidity: 13.46
Gateway: director-financial, Avg Temp: 15.62, Avg Humidity: 29.81
Gateway: one-individual-baby, Avg Temp: -1.96, Avg Humidity: 87.76
Gateway: letter-property, Avg Temp: 13.06, Avg Humidity: 12.57
Gateway: chance-music-tax, Avg Temp: 4.48, Avg Humidity: 68.67
Gateway: thus-of-remember, Avg Temp: 37.07, Avg Humidity: 69.38
Gateway: call-water-trial, Avg Temp: -7.85, Avg Humidity: 20.99
Gateway: standard-defense, Avg Temp: -2.07, Avg Humidity: 43.47
Gateway: live-seem-soldier, Avg Temp: 15.78, Avg Humidity: 16.07
Gateway: party-level, Avg Temp: 41.57, Avg Humidity: 26.31
Gateway: bit-end-father, Avg Temp: 31.88, Avg Humidity: 23.31
Gateway: that-stock-those, Avg Temp: 42.38, Avg Humidity: 81.34
Gateway: them-light-call, Avg Temp: -0.20, Avg Humidity: 62.49
Gateway: piece-capital, Avg Temp: -2.59, Avg Humidity: 67.68
Gateway: bad-stuff-two-never, Avg Temp: 22.68, Avg Humidity: 84.57
Gateway: black-experience, Avg Temp: 28.43, Avg Humidity: 68.86
Gateway: water-movie, Avg Temp: -1.50, Avg Humidity: 60.35
Gateway: true-environmental, Avg Temp: 26.43, Avg Humidity: 50.84
Gateway: employee-however, Avg Temp: 27.23, Avg Humidity: 56.32
Gateway: miss-man-focus-many, Avg Temp: -9.59, Avg Humidity: 28.56
Gateway: throw-stop-end-word, Avg Temp: 41.83, Avg Humidity: 11.42
Gateway: something-radio, Avg Temp: 33.96, Avg Humidity: 70.40
